robot_id,proximity,bumper,light_left,light_right,boundary,transporting,home_zone,error
4,False,False,0.0016353627386516223,0.0016353627386516223,False,False,False,False
4,False,False,0.001637519310873594,0.001637519310873594,False,False,False,False
4,False,False,0.001639666779778026,0.001639666779778026,False,False,False,False
4,False,False,0.001641804992737895,0.001641804992737895,False,False,False,False
4,False,False,0.0016439337966242598,0.0016439337966242598,False,False,False,False
4,False,False,0.001646053037826927,0.001646053037826927,False,False,False,False
4,False,False,0.0016481625622755554,0.0016481625622755554,False,False,False,False
4,False,False,0.0016502622154611793,0.0016502622154611793,False,False,False,False
4,False,False,0.001652351842458165,0.001652351842458165,False,False,False,False
4,False,False,0.0016544312879465894,0.0016544312879465894,False,False,False,False
4,False,False,0.0016565003962350426,0.0016565003962350426,False,False,False,False
4,False,False,0.0016585590112838519,0.0016585590112838519,False,False,False,False
4,False,False,0.001660606976728723,0.001660606976728723,False,False,False,False
4,False,False,0.0016626441359048022,0.0016626441359048022,False,False,False,False
4,False,False,0.0016646703318711471,0.0016646703318711471,False,False,False,False
4,False,False,0.0016666854074356104,0.0016666854074356104,False,False,False,False
4,False,False,0.0016686892051801312,0.0016686892051801312,False,False,False,False
4,False,False,0.0016706815674864285,0.0016706815674864285,False,False,False,False
4,False,False,0.001672662336562094,0.001672662336562094,False,False,False,False
4,False,False,0.001674631354467083,0.001674631354467083,False,False,False,False
4,False,False,0.001676588463140592,0.001676588463140592,False,False,False,False
4,False,False,0.0016785335044283223,0.0016785335044283223,False,False,False,False
4,False,False,0.00168046632011013,0.00168046632011013,False,False,False,False
4,False,False,0.001682386751928044,0.001682386751928044,False,False,False,False
4,False,False,0.0016842946416146564,0.0016842946416146564,False,False,False,False
4,False,False,0.001686189830921877,0.001686189830921877,False,False,False,False
4,False,False,0.0016880721616500448,0.0016880721616500448,False,False,False,False
4,False,False,0.001689941475677386,0.001689941475677386,False,False,False,False
4,False,False,0.0016917976149898224,0.0016917976149898224,False,False,False,False
4,False,False,0.0016936404217111076,0.0016936404217111076,False,False,False,False
4,False,False,0.0016954697381332973,0.0016954697381332973,False,False,False,False
